<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
US1.MCD_disappeared_874557,D,20190131,000000,180.2500000,181.8500000,176.8700000,179.1700000,6777429
US1.MCD_disappeared_874557,D,20190228,000000,182.1300000,183.9800000,182.0100000,183.8300000,1855897
US1.MCD_disappeared_874557,D,20190318,000000,185.7300000,186.2600000,183.5400000,184.2200000,70042
US1.MCD_disappeared_874557,D,20190319,000000,184.3400000,184.3400000,182.6000000,183.2400000,58930
US1.MCD_disappeared_874557,D,20190320,000000,183.5000000,183.5000000,182.3800000,182.7100000,26587
US1.MCD_disappeared_874557,D,20190321,000000,184.4400000,186.6000000,184.4400000,185.9900000,59852
US1.MCD_disappeared_874557,D,20190322,000000,186.0100000,188.6300000,186.0100000,186.8200000,180913
US1.MCD_disappeared_874557,D,20190325,000000,186.0000000,186.4600000,184.0100000,185.7400000,120202
US1.MCD_disappeared_874557,D,20190326,000000,186.9000000,188.8200000,186.3500000,187.5100000,99409
US1.MCD_disappeared_874557,D,20190327,000000,187.9450000,188.6400000,187.0700000,187.5800000,66393
US1.MCD_disappeared_874557,D,20190328,000000,188.0000000,189.4300000,188.0000000,189.3900000,92336
US1.MCD_disappeared_874557,D,20190329,000000,190.2600000,190.5100000,188.9400000,189.9200000,117724
US1.MCD_disappeared_874557,D,20190401,000000,190.7100000,190.8000000,187.7500000,188.4200000,162261
US1.MCD_disappeared_874557,D,20190402,000000,188.9500000,188.9500000,186.8100000,188.3900000,73564
US1.MCD_disappeared_874557,D,20190403,000000,188.8500000,189.2100000,187.6700000,188.3200000,117898
US1.MCD_disappeared_874557,D,20190404,000000,189.0600000,190.7000000,188.9700000,189.8500000,118978
US1.MCD_disappeared_874557,D,20190405,000000,190.5000000,191.2400000,190.1500000,190.7050000,112322
US1.MCD_disappeared_874557,D,20190408,000000,190.6300000,191.4700000,189.6200000,189.8500000,94677
US1.MCD_disappeared_874557,D,20190409,000000,189.3600000,190.2700000,188.4700000,190.1300000,99362
US1.MCD_disappeared_874557,D,20190410,000000,190.7100000,191.2300000,188.7700000,189.2200000,94230
US1.MCD_disappeared_874557,D,20190411,000000,189.2500000,189.4600000,188.1000000,188.9100000,88914
US1.MCD_disappeared_874557,D,20190412,000000,189.7200000,192.2500000,189.6500000,191.6000000,147242
US1.MCD_disappeared_874557,D,20190415,000000,191.7600000,192.3400000,190.8500000,191.8500000,94611
US1.MCD_disappeared_874557,D,20190416,000000,192.6600000,192.9900000,191.3900000,191.7500000,69230
US1.MCD_disappeared_874557,D,20190417,000000,191.9600000,192.2900000,191.3800000,191.6100000,109881
US1.MCD_disappeared_874557,D,20190418,000000,191.9400000,195.0000000,191.9400000,195.0000000,149393
US1.MCD_disappeared_874557,D,20190422,000000,193.7700000,194.7100000,193.4600000,193.9500000,85390
US1.MCD_disappeared_874557,D,20190423,000000,194.4500000,195.8650000,194.1500000,195.2500000,111463
US1.MCD_disappeared_874557,D,20190424,000000,195.6400000,198.2500000,195.5500000,197.5900000,150208
US1.MCD_disappeared_874557,D,20190425,000000,196.5300000,198.0000000,195.6800000,197.9400000,78066
US1.MCD_disappeared_874557,D,20190426,000000,198.4700000,198.4700000,196.5800000,197.3900000,122188
US1.MCD_disappeared_874557,D,20190429,000000,197.9600000,198.2800000,195.4200000,197.0400000,187064
US1.MCD_disappeared_874557,D,20190430,000000,198.8500000,200.0000000,195.5000000,197.5600000,1361515
US1.MCD_disappeared_874557,D,20190501,000000,195.3200000,197.0200000,193.9800000,194.1900000,201680
US1.MCD_disappeared_874557,D,20190502,000000,194.2400000,195.1500000,193.3300000,194.6100000,103153
US1.MCD_disappeared_874557,D,20190503,000000,195.6700000,197.9500000,194.8200000,197.5300000,137310
US1.MCD_disappeared_874557,D,20190506,000000,196.2000000,199.1600000,196.2000000,198.9800000,94014
US1.MCD_disappeared_874557,D,20190507,000000,198.0000000,199.6200000,196.7500000,198.0400000,131031
US1.MCD_disappeared_874557,D,20190508,000000,197.9800000,199.0800000,196.8300000,198.1400000,61630
US1.MCD_disappeared_874557,D,20190509,000000,197.0800000,198.2600000,196.4200000,197.6800000,96537
US1.MCD_disappeared_874557,D,20190510,000000,197.3000000,200.3600000,197.3000000,200.0000000,101089
US1.MCD_disappeared_874557,D,20190513,000000,199.1200000,199.8900000,197.3100000,199.0200000,181856
US1.MCD_disappeared_874557,D,20190514,000000,198.6800000,199.5800000,197.7150000,197.9700000,116758
US1.MCD_disappeared_874557,D,20190515,000000,198.0700000,199.7200000,197.8900000,199.0500000,111811
US1.MCD_disappeared_874557,D,20190516,000000,199.4150000,200.6100000,198.9200000,199.9400000,127147
US1.MCD_disappeared_874557,D,20190517,000000,198.9100000,200.3600000,198.9100000,199.2000000,110986
US1.MCD_disappeared_874557,D,20190520,000000,199.6400000,200.5800000,198.2800000,198.9800000,102604
US1.MCD_disappeared_874557,D,20190521,000000,200.8900000,201.0200000,199.0800000,199.8400000,80415
US1.MCD_disappeared_874557,D,20190522,000000,198.8900000,200.1500000,198.5300000,200.0000000,57665
US1.MCD_disappeared_874557,D,20190523,000000,199.0300000,199.4100000,198.1200000,198.9700000,131735
US1.MCD_disappeared_874557,D,20190524,000000,199.8200000,199.8200000,197.3400000,197.7700000,116399
US1.MCD_disappeared_874557,D,20190528,000000,197.7900000,199.3700000,196.4000000,196.7900000,85793
US1.MCD_disappeared_874557,D,20190529,000000,195.0100000,196.6700000,194.8800000,196.1800000,121812
US1.MCD_disappeared_874557,D,20190530,000000,196.0300000,199.4000000,195.8200000,199.3200000,107371
US1.MCD_disappeared_874557,D,20190531,000000,197.6600000,200.0300000,197.6200000,198.2000000,137672
US1.MCD_disappeared_874557,D,20190603,000000,198.4400000,199.1000000,197.3300000,198.6200000,129114
US1.MCD_disappeared_874557,D,20190604,000000,199.3300000,200.3000000,198.8200000,199.6150000,206077
US1.MCD_disappeared_874557,D,20190605,000000,200.2900000,200.5400000,199.2600000,200.0400000,240323
US1.MCD_disappeared_874557,D,20190606,000000,200.2000000,203.3600000,200.1600000,203.0700000,230754
US1.MCD_disappeared_874557,D,20190607,000000,203.5700000,206.3600000,203.5500000,205.5100000,205865
US1.MCD_disappeared_874557,D,20190610,000000,205.8650000,205.8650000,199.7500000,201.2800000,368899
US1.MCD_disappeared_874557,D,20190611,000000,202.4600000,203.6300000,201.4400000,203.2700000,176735
US1.MCD_disappeared_874557,D,20190612,000000,204.1300000,205.4900000,203.9300000,204.9700000,115020
US1.MCD_disappeared_874557,D,20190613,000000,205.1600000,205.1700000,203.6600000,204.3700000,118599
US1.MCD_disappeared_874557,D,20190614,000000,204.0000000,205.8000000,204.0000000,205.3600000,133399
US1.MCD_disappeared_874557,D,20190617,000000,205.4600000,205.6100000,203.0900000,203.7700000,131490
US1.MCD_disappeared_874557,D,20190618,000000,204.9900000,205.3800000,203.9300000,204.5100000,130908
US1.MCD_disappeared_874557,D,20190619,000000,204.5100000,204.9600000,202.6200000,204.5800000,138520
US1.MCD_disappeared_874557,D,20190620,000000,204.9500000,205.3800000,204.1800000,205.1100000,111776
US1.MCD_disappeared_874557,D,20190621,000000,205.1200000,205.9100000,203.9900000,204.2200000,194898
US1.MCD_disappeared_874557,D,20190624,000000,204.8600000,204.8600000,203.6600000,203.9200000,128154
US1.MCD_disappeared_874557,D,20190625,000000,204.9700000,206.3900000,204.7400000,205.6700000,201413
US1.MCD_disappeared_874557,D,20190626,000000,205.4700000,205.5400000,204.0300000,204.6000000,139493
US1.MCD_disappeared_874557,D,20190627,000000,204.7000000,206.3500000,204.2800000,206.2500000,130869
US1.MCD_disappeared_874557,D,20190628,000000,206.8400000,207.9800000,206.3200000,207.6500000,148865
US1.MCD_disappeared_874557,D,20190701,000000,208.8000000,209.4100000,206.1900000,206.2900000,159478
US1.MCD_disappeared_874557,D,20190702,000000,206.7400000,209.5400000,206.5900000,209.5300000,176033
US1.MCD_disappeared_874557,D,20190703,000000,209.9000000,212.8100000,209.7900000,212.7500000,197003
US1.MCD_disappeared_874557,D,20190705,000000,212.3000000,212.9950000,210.3000000,211.2300000,108302
US1.MCD_disappeared_874557,D,20190708,000000,211.3500000,212.5200000,211.3400000,212.1400000,121190
US1.MCD_disappeared_874557,D,20190709,000000,211.9400000,212.6600000,211.4900000,212.0900000,92459
US1.MCD_disappeared_874557,D,20190710,000000,212.3500000,213.4400000,212.0000000,213.0500000,99713
US1.MCD_disappeared_874557,D,20190711,000000,214.4400000,214.7900000,211.6200000,212.5700000,118737
US1.MCD_disappeared_874557,D,20190712,000000,213.2900000,213.3000000,211.2900000,212.9500000,120049
US1.MCD_disappeared_874557,D,20190715,000000,213.5000000,214.6400000,212.7200000,214.1500000,178946
US1.MCD_disappeared_874557,D,20190716,000000,214.5200000,214.8900000,212.1700000,213.7000000,171945
US1.MCD_disappeared_874557,D,20190717,000000,214.2000000,214.9000000,213.3550000,213.7100000,119284
US1.MCD_disappeared_874557,D,20190718,000000,214.1400000,215.9400000,213.3700000,215.9000000,180042
US1.MCD_disappeared_874557,D,20190719,000000,215.4900000,216.2300000,213.8100000,213.9300000,161620
US1.MCD_disappeared_874557,D,20190722,000000,214.1600000,215.3000000,212.5700000,215.0300000,136264
US1.MCD_disappeared_874557,D,20190723,000000,215.7300000,216.2200000,212.6500000,214.2900000,182025
US1.MCD_disappeared_874557,D,20190724,000000,213.9500000,214.9500000,212.3100000,212.7400000,192085
US1.MCD_disappeared_874557,D,20190725,000000,212.8700000,214.5100000,212.5500000,214.5100000,217683
US1.MCD_disappeared_874557,D,20190726,000000,217.5000000,218.9300000,214.4900000,215.4900000,275061
US1.MCD_disappeared_874557,D,20190729,000000,216.0000000,217.3000000,214.3100000,214.8600000,263213
US1.MCD_disappeared_874557,D,20190730,000000,214.0600000,215.1800000,211.5800000,212.2700000,201710
US1.MCD_disappeared_874557,D,20190731,000000,211.3600000,212.7000000,209.3700000,210.9200000,188512
US1.MCD_disappeared_874557,D,20190801,000000,211.0000000,213.1200000,210.1100000,211.3500000,215376
US1.MCD_disappeared_874557,D,20190802,000000,211.4400000,215.0800000,210.9600000,214.4500000,242335
US1.MCD_disappeared_874557,D,20190805,000000,213.6500000,214.4700000,209.4250000,210.5000000,229419
US1.MCD_disappeared_874557,D,20190806,000000,210.4500000,214.5200000,209.8900000,214.1300000,191616
US1.MCD_disappeared_874557,D,20190807,000000,213.7200000,217.5500000,211.4200000,216.8200000,286183
US1.MCD_disappeared_874557,D,20190808,000000,217.4800000,219.7200000,216.2900000,217.9800000,322479
US1.MCD_disappeared_874557,D,20190809,000000,218.4400000,221.9300000,218.2300000,221.1300000,318613
US1.MCD_disappeared_874557,D,20190812,000000,220.5700000,220.5700000,216.4300000,217.1400000,166060
US1.MCD_disappeared_874557,D,20190813,000000,219.5900000,220.2100000,218.3000000,219.6600000,221701
US1.MCD_disappeared_874557,D,20190814,000000,218.9400000,219.7400000,216.4900000,216.5900000,240096
US1.MCD_disappeared_874557,D,20190815,000000,215.9300000,218.4800000,215.7500000,218.2500000,151694
US1.MCD_disappeared_874557,D,20190816,000000,219.6100000,219.7900000,217.3100000,218.4300000,126769
US1.MCD_disappeared_874557,D,20190819,000000,219.9900000,220.1700000,217.1200000,218.7100000,175730
US1.MCD_disappeared_874557,D,20190820,000000,218.9300000,219.9100000,218.3500000,218.5000000,180327
US1.MCD_disappeared_874557,D,20190821,000000,219.8900000,220.7900000,218.7300000,220.7100000,117817
US1.MCD_disappeared_874557,D,20190822,000000,220.6000000,220.8200000,217.9200000,219.3600000,227671
US1.MCD_disappeared_874557,D,20190823,000000,219.0300000,219.4600000,213.9100000,214.5800000,321544
US1.MCD_disappeared_874557,D,20190826,000000,216.0400000,217.1800000,214.2100000,216.8800000,199326
US1.MCD_disappeared_874557,D,20190827,000000,217.6200000,217.7300000,216.0600000,216.0900000,114983
US1.MCD_disappeared_874557,D,20190828,000000,216.8100000,218.2100000,215.4000000,218.0400000,144656
US1.MCD_disappeared_874557,D,20190829,000000,219.8300000,221.0000000,218.4100000,220.4700000,204525
US1.MCD_disappeared_874557,D,20190830,000000,219.9100000,219.9500000,216.9500000,217.9200000,206814
US1.MCD_disappeared_874557,D,20190903,000000,218.0000000,218.6700000,216.2800000,217.1800000,121945
US1.MCD_disappeared_874557,D,20190904,000000,217.5200000,219.2500000,216.6250000,218.4300000,165197
US1.MCD_disappeared_874557,D,20190905,000000,220.0600000,220.1000000,218.4200000,219.4400000,147422
US1.MCD_disappeared_874557,D,20190906,000000,219.6200000,220.8200000,219.5700000,220.0500000,128128
US1.MCD_disappeared_874557,D,20190909,000000,220.4000000,220.4000000,217.1800000,217.2800000,195599
US1.MCD_disappeared_874557,D,20190910,000000,214.5100000,214.5100000,208.2900000,209.5600000,401407
US1.MCD_disappeared_874557,D,20190911,000000,210.0300000,211.5100000,208.5600000,210.1700000,235265
US1.MCD_disappeared_874557,D,20190912,000000,211.5200000,214.0000000,211.4300000,212.1600000,239642
US1.MCD_disappeared_874557,D,20190913,000000,212.4500000,212.4500000,208.9550000,209.8500000,303512
US1.MCD_disappeared_874557,D,20190916,000000,209.3100000,209.8100000,207.3500000,207.4250000,219460
US1.MCD_disappeared_874557,D,20190917,000000,208.0000000,210.8400000,207.5400000,209.8500000,273786
US1.MCD_disappeared_874557,D,20190918,000000,210.4500000,210.8800000,208.2900000,210.3800000,189970
US1.MCD_disappeared_874557,D,20190919,000000,210.0100000,211.8300000,209.9600000,210.5700000,194379
US1.MCD_disappeared_874557,D,20190920,000000,210.2600000,211.7700000,209.4200000,209.4200000,288602
US1.MCD_disappeared_874557,D,20190923,000000,209.8200000,212.4300000,209.6400000,211.5000000,160705
US1.MCD_disappeared_874557,D,20190924,000000,212.3700000,213.5100000,211.5700000,212.1000000,198819
US1.MCD_disappeared_874557,D,20190925,000000,212.3000000,213.1400000,211.0500000,212.6200000,173341
US1.MCD_disappeared_874557,D,20190926,000000,214.2400000,215.6400000,212.4900000,212.6300000,179722
US1.MCD_disappeared_874557,D,20190927,000000,213.3300000,213.5300000,212.3100000,213.1500000,145599
US1.MCD_disappeared_874557,D,20190930,000000,213.9000000,215.3500000,213.4300000,214.7400000,159145
US1.MCD_disappeared_874557,D,20191001,000000,211.0900000,211.6450000,208.5700000,209.0500000,263219
US1.MCD_disappeared_874557,D,20191002,000000,207.8600000,208.4800000,205.6300000,206.1400000,230845
US1.MCD_disappeared_874557,D,20191003,000000,206.5300000,209.9000000,206.4900000,209.6650000,130249
US1.MCD_disappeared_874557,D,20191004,000000,210.7300000,211.7000000,210.0500000,211.6800000,113406
US1.MCD_disappeared_874557,D,20191007,000000,211.3500000,212.8500000,211.1800000,212.1900000,171265
US1.MCD_disappeared_874557,D,20191008,000000,210.9700000,213.1400000,209.9700000,211.0800000,179288
US1.MCD_disappeared_874557,D,20191009,000000,211.7600000,213.4400000,211.7600000,212.8800000,111975
US1.MCD_disappeared_874557,D,20191010,000000,212.1500000,213.1100000,211.5300000,211.5800000,114375
US1.MCD_disappeared_874557,D,20191011,000000,212.9500000,213.1800000,208.6900000,209.0600000,302789
US1.MCD_disappeared_874557,D,20191014,000000,207.9500000,209.9900000,207.9500000,208.2700000,176787
US1.MCD_disappeared_874557,D,20191015,000000,209.5900000,209.6000000,206.5300000,207.2700000,206038
US1.MCD_disappeared_874557,D,20191016,000000,207.1500000,208.9100000,207.0500000,208.5500000,148273
US1.MCD_disappeared_874557,D,20191017,000000,208.8500000,209.4800000,206.8500000,206.8800000,191656
US1.MCD_disappeared_874557,D,20191018,000000,206.8600000,209.0300000,206.7900000,208.4800000,248136
US1.MCD_disappeared_874557,D,20191021,000000,209.2900000,210.7000000,208.4600000,209.8400000,177693
US1.MCD_disappeared_874557,D,20191022,000000,204.8600000,205.0900000,199.1900000,199.2300000,526363
US1.MCD_disappeared_874557,D,20191023,000000,200.0100000,201.1100000,198.0300000,199.1100000,402630
US1.MCD_disappeared_874557,D,20191024,000000,199.4700000,199.4700000,195.8100000,196.0000000,297493
US1.MCD_disappeared_874557,D,20191025,000000,196.0700000,196.5900000,194.4200000,194.5500000,238452
US1.MCD_disappeared_874557,D,20191028,000000,195.1100000,195.3200000,191.5000000,191.8100000,374041
US1.MCD_disappeared_874557,D,20191029,000000,191.8400000,193.1600000,191.6400000,192.5900000,266398
US1.MCD_disappeared_874557,D,20191030,000000,193.2100000,196.9800000,191.7500000,196.9800000,265936
US1.MCD_disappeared_874557,D,20191031,000000,197.0700000,197.3900000,195.6600000,196.7300000,155706
US1.MCD_disappeared_874557,D,20191101,000000,197.6700000,197.6700000,193.7200000,193.9400000,216358
US1.MCD_disappeared_874557,D,20191104,000000,190.0600000,190.7200000,187.5500000,188.6300000,1134544
US1.MCD_disappeared_874557,D,20191105,000000,189.5500000,192.9900000,189.5400000,192.1200000,534259
US1.MCD_disappeared_874557,D,20191106,000000,193.4400000,195.2700000,193.1500000,194.1700000,318521
US1.MCD_disappeared_874557,D,20191107,000000,195.7200000,195.9600000,192.3800000,193.0800000,261349
US1.MCD_disappeared_874557,D,20191108,000000,194.6800000,194.7800000,193.2500000,193.5900000,136863
US1.MCD_disappeared_874557,D,20191111,000000,193.6200000,194.2500000,192.5000000,192.5600000,127635
US1.MCD_disappeared_874557,D,20191112,000000,193.1200000,193.8400000,192.7700000,193.2600000,145810
US1.MCD_disappeared_874557,D,20191113,000000,193.7100000,195.0900000,193.5300000,194.9900000,182408
US1.MCD_disappeared_874557,D,20191114,000000,195.4000000,195.4000000,193.2500000,193.8800000,172786
US1.MCD_disappeared_874557,D,20191115,000000,194.5200000,194.6500000,193.3500000,193.9700000,147928
US1.MCD_disappeared_874557,D,20191118,000000,194.0800000,195.7200000,193.9100000,194.2300000,174012
US1.MCD_disappeared_874557,D,20191119,000000,194.1000000,194.2300000,193.0400000,193.4900000,183444
US1.MCD_disappeared_874557,D,20191120,000000,193.7300000,194.9700000,193.6400000,194.0800000,230788
US1.MCD_disappeared_874557,D,20191121,000000,194.3600000,194.6600000,192.2800000,192.3800000,201316
US1.MCD_disappeared_874557,D,20191122,000000,193.2600000,193.4100000,192.1900000,193.1300000,199966
US1.MCD_disappeared_874557,D,20191125,000000,193.9800000,194.2700000,191.6100000,191.8300000,223862
US1.MCD_disappeared_874557,D,20191126,000000,191.9900000,194.0300000,191.9700000,194.0200000,202116
US1.MCD_disappeared_874557,D,20191127,000000,194.2100000,196.6300000,193.9300000,196.3100000,283681
US1.MCD_disappeared_874557,D,20191129,000000,196.4000000,196.4800000,194.2800000,194.5800000,122414
US1.MCD_disappeared_874557,D,20191202,000000,195.1200000,195.5800000,193.8500000,195.2100000,168189
US1.MCD_disappeared_874557,D,20191203,000000,194.3600000,195.0000000,192.3500000,193.1600000,165934
US1.MCD_disappeared_874557,D,20191204,000000,193.5800000,194.4600000,192.9100000,194.2700000,95110
US1.MCD_disappeared_874557,D,20191205,000000,194.4500000,194.4500000,193.1600000,194.2300000,144335
US1.MCD_disappeared_874557,D,20191206,000000,194.6100000,195.7300000,194.1600000,195.4300000,197266
US1.MCD_disappeared_874557,D,20191209,000000,195.6600000,195.7000000,194.2900000,194.7100000,60938
US1.MCD_disappeared_874557,D,20191210,000000,194.7400000,195.3800000,194.3600000,195.2100000,103533
US1.MCD_disappeared_874557,D,20191211,000000,195.2400000,195.2400000,194.6500000,194.7100000,27566
US1.MCD_disappeared_874557,D,20191213,000000,197.1500000,197.1500000,197.1500000,197.1500000,100
US1.MCD_disappeared_874557,D,20191216,000000,197.9200000,198.1500000,196.4750000,197.9200000,237595
US1.MCD_disappeared_874557,D,20191217,000000,197.7100000,198.6300000,196.4800000,196.4900000,195451
US1.MCD_disappeared_874557,D,20191218,000000,196.6200000,196.6200000,194.7300000,195.7500000,211763
US1.MCD_disappeared_874557,D,20191219,000000,195.5000000,197.1600000,195.2900000,197.0350000,160083
US1.MCD_disappeared_874557,D,20191220,000000,198.0700000,198.8600000,196.6800000,197.1600000,144673
US1.MCD_disappeared_874557,D,20191223,000000,197.4200000,197.4600000,196.0400000,196.3000000,92308
US1.MCD_disappeared_874557,D,20191224,000000,195.9700000,197.1200000,195.7100000,196.6300000,35734
US1.MCD_disappeared_874557,D,20191226,000000,196.5200000,197.1200000,196.1800000,197.1200000,62687
US1.MCD_disappeared_874557,D,20191227,000000,197.3900000,198.4700000,197.2400000,198.1700000,129703
US1.MCD_disappeared_874557,D,20191230,000000,197.6600000,197.7200000,195.9600000,197.0200000,119033
US1.MCD_disappeared_874557,D,20191231,000000,197.5600000,197.6700000,196.8900000,197.6200000,90238
US1.MCD_disappeared_874557,D,20200102,000000,198.0200000,200.7900000,197.8900000,200.7800000,290460
US1.MCD_disappeared_874557,D,20200103,000000,199.3200000,200.5200000,198.8700000,200.2050000,167831
US1.MCD_disappeared_874557,D,20200106,000000,199.7000000,202.7600000,199.7000000,202.3300000,269879
US1.MCD_disappeared_874557,D,20200107,000000,201.8200000,202.6700000,200.5100000,202.6550000,209753
US1.MCD_disappeared_874557,D,20200108,000000,202.2500000,206.6800000,202.2500000,205.9000000,376684
US1.MCD_disappeared_874557,D,20200109,000000,206.8100000,209.3600000,206.1000000,208.3600000,313147
US1.MCD_disappeared_874557,D,20200110,000000,208.7900000,208.9500000,207.2900000,207.2900000,150084
US1.MCD_disappeared_874557,D,20200113,000000,207.6400000,207.7300000,205.7700000,206.5600000,124139
US1.MCD_disappeared_874557,D,20200114,000000,205.6900000,207.6500000,205.6900000,207.3000000,147296
US1.MCD_disappeared_874557,D,20200115,000000,207.5600000,210.3500000,207.5600000,209.7000000,211277
US1.MCD_disappeared_874557,D,20200116,000000,210.1200000,211.1000000,209.2200000,210.9100000,211911
US1.MCD_disappeared_874557,D,20200117,000000,211.4200000,212.7600000,211.4200000,211.9100000,160089
US1.MCD_disappeared_874557,D,20200121,000000,211.4900000,212.1700000,210.2600000,211.1700000,161416
US1.MCD_disappeared_874557,D,20200122,000000,213.0000000,213.6300000,211.4000000,211.4600000,133589
US1.MCD_disappeared_874557,D,20200123,000000,210.3000000,213.4800000,208.8400000,213.4700000,145272
US1.MCD_disappeared_874557,D,20200124,000000,213.8200000,213.8200000,210.9400000,211.2400000,195967
US1.MCD_disappeared_874557,D,20200127,000000,207.5300000,210.6000000,207.3600000,209.3600000,200097
US1.MCD_disappeared_874557,D,20200128,000000,210.0200000,212.1500000,210.0200000,210.5200000,233865
US1.MCD_disappeared_874557,D,20200129,000000,211.2300000,216.4000000,211.0000000,214.4200000,323275
US1.MCD_disappeared_874557,D,20200130,000000,214.0200000,216.7400000,213.0500000,216.2800000,263206
US1.MCD_disappeared_874557,D,20200131,000000,216.4100000,217.0900000,213.1700000,214.0200000,184632
US1.MCD_disappeared_874557,D,20200203,000000,214.5500000,216.8800000,214.2300000,215.1400000,191284
US1.MCD_disappeared_874557,D,20200204,000000,216.0500000,216.6100000,214.3600000,214.7000000,195298
US1.MCD_disappeared_874557,D,20200205,000000,215.7800000,215.7800000,213.0200000,214.3600000,172195
US1.MCD_disappeared_874557,D,20200206,000000,214.6600000,214.8100000,212.6400000,212.8400000,148060
US1.MCD_disappeared_874557,D,20200207,000000,212.4600000,212.6300000,211.0900000,211.5800000,109792
US1.MCD_disappeared_874557,D,20200210,000000,211.5800000,213.2500000,211.5400000,213.1400000,96714
US1.MCD_disappeared_874557,D,20200211,000000,214.1900000,215.8500000,213.6800000,215.8000000,136539
US1.MCD_disappeared_874557,D,20200212,000000,216.1900000,217.4500000,215.1700000,217.4500000,139329
US1.MCD_disappeared_874557,D,20200213,000000,216.6600000,218.3800000,216.3500000,217.4900000,152857
US1.MCD_disappeared_874557,D,20200214,000000,217.4800000,217.7600000,216.4200000,217.0900000,90749
US1.MCD_disappeared_874557,D,20200218,000000,216.2500000,217.0100000,215.6700000,216.1500000,156246
